epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7406,0.35605,0.79484,0.86461,0.72071,0.875,0.86264,0.84494,0.25622,0.656,0.78923,0.00019992,0.00019992,0.00019992
2,92.2897,0.35664,0.68223,0.8524,0.72491,0.84942,0.81803,0.79634,0.26927,0.67612,0.79642,0.000326398,0.000326398,0.000326398
3,154.809,0.35418,0.62485,0.85924,0.83084,0.86647,0.90315,0.87413,0.28151,0.54892,0.7995,0.00037088,0.00037088,0.00037088
4,205.764,0.34884,0.62658,0.86646,0.82237,0.80828,0.87112,0.84829,0.25336,0.55142,0.79329,0.000289884,0.000289884,0.000289884
5,244.975,0.33093,0.57311,0.85069,0.73885,0.88457,0.87655,0.85998,0.24291,0.52822,0.7901,0.000148512,0.000148512,0.000148512
